SIDO_CODE,SIDO,SGG_CODE,SIDO,lat,lon
11,서울시,11110,종로구,37.57,126.98
11,서울시,11140,중구,37.56,127
11,서울시,11170,용산구,37.54,126.97
11,서울시,11200,성동구,37.56,127.04
11,서울시,11215,광진구,37.54,127.08
11,서울시,11230,동대문구,37.57,127.04
11,서울시,11260,중랑구,37.61,127.09
11,서울시,11290,성북구,37.59,127.02
11,서울시,11305,강북구,37.64,127.03
11,서울시,11320,도봉구,37.67,127.05
11,서울시,11350,노원구,37.65,127.06
11,서울시,11380,은평구,37.6,126.93
11,서울시,11410,서대문구,37.58,126.94
11,서울시,11440,마포구,37.56,126.91
11,서울시,11470,양천구,37.52,126.87
11,서울시,11500,강서구,37.55,126.85
11,서울시,11530,구로구,37.5,126.89
11,서울시,11545,금천구,37.45,126.9
11,서울시,11560,영등포구,37.53,126.9
11,서울시,11590,동작구,37.51,126.94
11,서울시,11620,관악구,37.48,126.95
11,서울시,11650,서초구,37.48,127.03
11,서울시,11680,강남구,37.52,127.05
11,서울시,11710,송파구,37.51,127.11
11,서울시,11740,강동구,37.53,127.12
26,부산시,26110,중구,35.11,129.03
26,부산시,26140,서구,35.1,129.02
26,부산시,26170,동구,35.14,129.06
26,부산시,26200,영도구,35.09,129.07
26,부산시,26230,부산진구,35.16,129.05
26,부산시,26260,동래구,35.2,129.08
26,부산시,26290,남구,35.14,129.08
26,부산시,26320,북구,35.2,128.99
26,부산시,26350,해운대구,35.16,129.16
26,부산시,26380,사하구,35.1,128.97
26,부산시,26410,금정구,35.24,129.09
26,부산시,26440,강서구,35.21,128.98
26,부산시,26470,연제구,35.18,129.08
26,부산시,26500,수영구,35.15,129.11
26,부산시,26530,사상구,35.15,128.99
26,부산시,26710,기장군,35.24,129.22
27,대구시,27110,중구,35.87,128.61
27,대구시,27140,동구,35.89,128.64
27,대구시,27170,서구,35.87,128.56
27,대구시,27200,남구,35.85,128.6
27,대구시,27230,북구,35.89,128.58
27,대구시,27290,수성구,35.86,128.63
27,대구시,27290,달서구,35.83,128.53
27,대구시,27710,달성군,35.77,128.43
28,인천시,28110,중구,37.47,126.62
28,인천시,28140,동구,37.47,126.64
28,인천시,28170,남구,37.46,126.65
28,인천시,28185,연수구,37.41,126.68
28,인천시,28200,남동구,37.45,126.73
28,인천시,28237,부평구,37.51,126.72
28,인천시,28245,계양구,37.54,126.74
28,인천시,28260,서구,37.55,126.68
28,인천시,28710,강화군,37.75,126.49
28,인천시,28720,옹진군,37.21,126.18
29,광주시,29110,동구,35.15,126.92
29,광주시,29140,서구,35.15,126.89
29,광주시,29155,남구,35.12,126.91
29,광주시,29170,북구,35.17,126.91
29,광주시,29200,광산구,35.14,126.79
30,대전시,30110,동구,36.33,127.43
30,대전시,30140,중구,36.33,127.42
30,대전시,30170,서구,36.35,127.38
30,대전시,30200,유성구,36.36,127.36
30,대전시,30230,대덕구,36.35,127.42
31,울산시,31110,중구,35.57,129.33
31,울산시,31140,남구,35.54,129.33
31,울산시,31170,동구,35.5,129.42
31,울산시,31200,북구,35.58,129.36
31,울산시,31710,울주군,35.54,129.2
41,경기도,41110,수원시,37.26,127.03
41,경기도,41111,수원시 장안구,37.3,127.01
41,경기도,41113,수원시 권선구,37.26,126.97
41,경기도,41115,수원시 팔달구,37.29,127.03
41,경기도,41117,수원시 영통구,37.26,127.05
41,경기도,41130,성남시,37.44,127.14
41,경기도,41131,성남시 수정구,37.45,127.15
41,경기도,41133,성남시 중원구,37.43,127.14
41,경기도,41135,성남시 분당구,37.38,127.12
41,경기도,41150,의정부시,37.74,127.03
41,경기도,41170,안양시,37.39,126.96
41,경기도,41171,안양시 만안구,37.39,126.93
41,경기도,41173,안양시 동안구,37.39,126.95
41,경기도,41190,부천시,37.5,126.77
41,경기도,41195,부천시 원미구,37.5,126.79
41,경기도,41197,부천시 소사구,37.48,126.8
41,경기도,41199,부천시 오정구,37.53,126.8
41,경기도,41210,광명시,37.48,126.86
41,경기도,41220,평택시,36.99,127.11
41,경기도,41250,동두천시,37.9,127.06
41,경기도,41270,안산시,37.32,126.83
41,경기도,41271,안산시 상록구,37.3,126.85
41,경기도,41273,안산시 단원구,37.32,126.81
41,경기도,41280,고양시,37.66,126.83
41,경기도,41281,고양시 덕양구,37.64,126.83
41,경기도,41285,고양시 일산동구,37.66,126.77
41,경기도,41287,고양시 일산서구,37.68,126.75
41,경기도,41290,과천시,37.43,126.99
41,경기도,41310,구리시,37.59,127.13
41,경기도,41360,남양주시,37.64,127.22
41,경기도,41370,오산시,37.15,127.08
41,경기도,41390,시흥시,37.38,126.8
41,경기도,41410,군포시,37.36,126.94
41,경기도,41430,의왕시,37.34,126.97
41,경기도,41450,하남시,37.54,127.21
41,경기도,41460,용인시,37.24,127.18
41,경기도,41461,용인시 처인구,37.23,127.2
41,경기도,41463,용인시 기흥구,37.28,127.11
41,경기도,41465,용인시 수지구,37.32,127.1
41,경기도,41480,파주시,37.76,126.78
41,경기도,41500,이천시,37.27,127.43
41,경기도,41550,안성시,37.01,127.28
41,경기도,41570,김포시,37.62,126.72
41,경기도,41590,화성시,37.2,126.83
41,경기도,41610,광주시,37.42,127.26
41,경기도,41630,양주시,37.79,127.05
41,경기도,41650,포천시,37.89,127.2
41,경기도,41730,여주군,37.3,127.64
41,경기도,41800,연천군,38.1,127.07
41,경기도,41820,가평군,37.83,127.51
41,경기도,41830,양평군,37.49,127.49
42,강원도,42110,춘천시,37.88,127.73
42,강원도,42130,원주시,37.34,127.92
42,강원도,42150,강릉시,37.75,128.88
42,강원도,42170,동해시,37.52,129.11
42,강원도,42190,태백시,37.16,128.99
42,강원도,42210,속초시,38.21,128.59
42,강원도,42230,삼척시,37.45,129.17
42,강원도,42720,홍천군,37.7,127.89
42,강원도,42730,횡성군,37.49,127.98
42,강원도,42750,영월군,37.18,128.46
42,강원도,42760,평창군,37.37,128.39
42,강원도,42770,정선군,37.38,128.66
42,강원도,42780,철원군,38.15,127.31
42,강원도,42790,화천군,38.11,127.71
42,강원도,42800,양구군,38.11,127.99
42,강원도,42810,인제군,38.07,128.17
42,강원도,42820,고성군,38.38,128.47
42,강원도,42830,양양군,38.08,128.62
43,충북도,43110,청주시,36.64,127.49
43,충북도,43111,청주시 상당구,36.65,127.49
43,충북도,43113,청주시 흥덕구,36.64,127.47
43,충북도,43130,충주시,36.99,127.93
43,충북도,43150,제천시,37.13,128.19
43,충북도,43710,청원군,36.56,127.53
43,충북도,43720,보은군,36.49,127.73
43,충북도,43730,옥천군,36.31,127.57
43,충북도,43740,영동군,36.18,127.78
43,충북도,43745,증평군,36.79,127.58
43,충북도,43750,진천군,36.86,127.44
43,충북도,43760,괴산군,36.82,127.79
43,충북도,43770,음성군,36.94,127.69
43,충북도,43800,단양군,36.98,128.37
44,충남도,44130,천안시,36.82,127.11
44,충남도,44131,천안시 동남구,36.81,127.15
44,충남도,44133,천안시 서북구,36.88,127.14
44,충남도,44150,공주시,36.45,127.12
44,충남도,44180,보령시,36.33,126.61
44,충남도,44200,아산시,36.79,127
44,충남도,44210,서산시,36.78,126.45
44,충남도,44230,논산시,36.19,127.1
44,충남도,44250,계룡시,36.27,127.25
44,충남도,44710,금산군,36.11,127.49
44,충남도,44730,연기군,36.59,127.29
44,충남도,44760,부여군,36.28,126.91
44,충남도,44770,서천군,36.08,126.69
44,충남도,44790,청양군,36.46,126.8
44,충남도,44800,홍성군,36.6,126.66
44,충남도,44810,예산군,36.68,126.85
44,충남도,44825,태안군,36.75,126.3
44,충남도,44830,당진군,36.89,126.63
45,전북도,45110,전주시,35.82,127.15
45,전북도,45111,전주시 완산구,35.81,127.12
45,전북도,45113,전주시 덕진구,35.83,127.13
45,전북도,45130,군산시,35.97,126.74
45,전북도,45140,익산시,35.95,126.96
45,전북도,45180,정읍시,35.57,126.86
45,전북도,45190,남원시,35.42,127.39
45,전북도,45210,김제시,35.8,126.88
45,전북도,45710,완주군,35.89,127.25
45,전북도,45720,진안군,35.79,127.42
45,전북도,45730,무주군,36.01,127.66
45,전북도,45740,장수군,35.65,127.52
45,전북도,45750,임실군,35.61,127.28
45,전북도,45770,순창군,35.37,127.14
45,전북도,45790,고창군,35.44,126.7
45,전북도,45800,부안군,35.73,126.73
46,전남도,46110,목포시,34.81,126.39
46,전남도,46130,여수시,34.76,127.66
46,전남도,46150,순천시,34.95,127.49
46,전남도,46170,나주시,35.02,126.71
46,전남도,46230,광양시,34.94,127.7
46,전남도,46710,담양군,35.32,126.99
46,전남도,46720,곡성군,35.28,127.29
46,전남도,46730,구례군,35.2,127.46
46,전남도,46770,고흥군,34.61,127.28
46,전남도,46780,보성군,34.77,127.08
46,전남도,46790,화순군,35.06,126.99
46,전남도,46800,장흥군,34.68,126.91
46,전남도,46810,강진군,34.64,126.77
46,전남도,46820,해남군,34.57,126.6
46,전남도,46830,영암군,34.8,126.7
46,전남도,46840,무안군,34.99,126.48
46,전남도,46860,함평군,35.07,126.52
46,전남도,46870,영광군,35.28,126.51
46,전남도,46880,장성군,35.3,126.78
46,전남도,46890,완료도군,34.87,126.99
46,전남도,46900,진도군,34.49,126.26
46,전남도,46910,신안군,34.83,126.1
47,경북도,47110,포항시,36.02,129.34
47,경북도,47111,포항시 남구,36.01,129.36
47,경북도,47113,포항시 북구,36.22,129.26
47,경북도,47130,경주시,35.86,129.22
47,경북도,47150,김천시,36.14,128.11
47,경북도,47170,안동시,36.57,128.73
47,경북도,47190,구미시,36.12,128.34
47,경북도,47210,영주시,36.81,128.62
47,경북도,47230,영천시,35.97,128.94
47,경북도,47250,상주시,36.41,128.16
47,경북도,47280,문경시,36.59,128.19
47,경북도,47290,경산시,35.83,128.74
47,경북도,47720,군위군,36.24,128.57
47,경북도,47730,의성군,36.35,128.7
47,경북도,47750,청송군,36.44,129.06
47,경북도,47760,영양군,36.67,129.11
47,경북도,47770,영덕군,36.42,129.37
47,경북도,47820,청도군,35.65,128.73
47,경북도,47830,고령군,35.73,128.26
47,경북도,47840,성주군,35.92,128.28
47,경북도,47850,칠곡군,36,128.4
47,경북도,47900,예천군,36.66,128.45
47,경북도,47920,봉화군,36.89,128.73
47,경북도,47930,울진군,36.99,129.4
47,경북도,47940,울릉군,37.48,130.91
48,경남도,48120,창원시 ,35.23,128.68
48,경남도,48125,창원시 마산합포구,35.2,128.57
48,경남도,48127,창원시 마산회원구,35.22,128.58
48,경남도,48123,창원시 성산구,35.2,128.7
48,경남도,48121,창원시 의창구,35.25,128.64
48,경남도,48129,창원시 진해구,35.13,128.71
48,경남도,48170,진주시,35.18,128.11
48,경남도,48220,통영시,34.85,128.43
48,경남도,48240,사천시,35,128.06
48,경남도,48250,김해시,35.23,128.89
48,경남도,48270,밀양시,35.5,128.75
48,경남도,48310,거제시,34.88,128.62
48,경남도,48330,양산시,35.34,129.04
48,경남도,48720,의령군,35.32,128.26
48,경남도,48730,함안군,35.27,128.41
48,경남도,48740,창녕군,35.54,128.49
48,경남도,48820,고성군,34.97,128.32
48,경남도,48840,남해군,34.84,127.89
48,경남도,48850,하동군,35.07,127.75
48,경남도,48860,산청군,35.42,127.87
48,경남도,48870,함양군,35.52,127.73
48,경남도,48880,거창군,35.69,127.91
48,경남도,48890,합천군,35.57,128.17
50,제주도,50110,제주시,33.5,126.53
50,제주도,50130,서귀포시,33.25,126.56
